;egg;L1;L2;L3;pupae;total;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year
BSW18013;;68;;;;;18;Bestvi;;0.014705882;;;;;2013
KSW1801003;;71;;;;;18;Klatovy;;0.014084507;;;;;2013
KSW1801005;;71;;;;;18;Klatovy;;0.014084507;;;;;2013
85B21;72;72;;;;;21;Bestvi;0.013888889;0.013888889;;;;;2012
45B15;144;72;;;;;15;Bestvi;0.006944444;0.013888889;;;;;2012
46B15;144;72;;;;;15;Bestvi;0.006944444;0.013888889;;;;;2012
BSW21007;107;72.5;;;;;21;Bestvi;0.009345794;0.013793103;;;;;2013
BSW21002;;74;;;;;21;Bestvi;;0.013513514;;;;;2013
PSW21062;106.5;76;;;;;21;Praha;0.009389671;0.013157895;;;;;2013
KSW18009;132.5;76;;;;;18;Klatovy;0.00754717;0.013157895;;;;;2013
PSW21039;155;76;;;;;21;Praha;0.006451613;0.013157895;;;;;2013
PSW15014;233.0000007;90.5;;;;;15;Praha;0.004291845;0.011049724;;;;;2013
PSW21009;85;94.25;;;;;21;Praha;0.011764706;0.01061008;;;;;2013
PSW21031;87;95;;;;;21;Praha;0.011494253;0.010526316;;;;;2013
PSW18017;111.25;95;;;;;18;Praha;0.008988764;0.010526316;;;;;2013
PSW21048;88.5;96;;;;;21;Praha;0.011299435;0.010416667;;;;;2013
PSW21057;112.5;96;;;;;21;Praha;0.008888889;0.010416667;;;;;2013
94P15;144;96;;;;;15;Praha;0.006944444;0.010416667;;;;;2012
95P15;144;96;;;;;15;Praha;0.006944444;0.010416667;;;;;2012
96P15;144;96;;;;;15;Praha;0.006944444;0.010416667;;;;;2012
97P15;144;96;;;;;15;Praha;0.006944444;0.010416667;;;;;2012
BSW21011;82.5;98;;;;;21;Bestvi;0.012121212;0.010204082;;;;;2013
PSW21015;107.0000007;98;;;;;21;Praha;0.009345794;0.010204082;;;;;2013
PSW21018;107.0000007;98;;;;;21;Praha;0.009345794;0.010204082;;;;;2013
DSW18013;;99.5;;;;;18;Domazlice;;0.010050251;;;;;2013
DSW18022;105.5;100;;;;;18;Domazlice;0.009478673;0.01;;;;;2013
PSW15010;185.0000007;119;;;;;15;Praha;0.005405405;0.008403361;;;;;2013
138P15;96;120;;;;;15;Praha;0.010416667;0.008333333;;;;;2012
139P15;96;120;;;;;15;Praha;0.010416667;0.008333333;;;;;2012
BSW18027;113.0000007;120;;;;;18;Bestvi;0.008849557;0.008333333;;;;;2013
DSW18025;113.0000007;120;;;;;18;Domazlice;0.008849557;0.008333333;;;;;2013
DSW18024;109.5000007;121;;;;;18;Domazlice;0.00913242;0.008264463;;;;;2013
